id,title,url,published_at,duration_seconds,views,likes,tags
jfvRUCo89Iw,This is how we maintain & release on Github,https://youtu.be/jfvRUCo89Iw,2022-05-09,509,44,,
wdzQmDofJ8s,Github Demo Issues,https://youtu.be/wdzQmDofJ8s,2022-05-06,355,21,,
dhhRxWpDWE0,Docker upgrade eclipse temurin:18 0 1 10 jre alpine and security,https://youtu.be/dhhRxWpDWE0,2022-05-05,193,305,,
x4GhCnyJ_DY,DOMAIN.nc : Avoid domain name expiration thanks to GH Actions,https://youtu.be/x4GhCnyJ_DY,2022-05-03,189,28,,
XhaqCqv1vWA,GitHub cli/cli : v2.9.0 clone labels feature console demo,https://youtu.be/XhaqCqv1vWA,2022-04-27,412,64,,
jwXX2jFKUv8,DOMAINE.nc front gource movie,https://youtu.be/jwXX2jFKUv8,2022-04-19,366,12,,
EX-G81j-N5k,DOMAINE.nc front gource movie (short),https://youtu.be/EX-G81j-N5k,2022-04-19,20,12,,
LzLSWOFQdRU,Grype demo 0.35.0 (Indicate location of vulnerability),https://youtu.be/LzLSWOFQdRU,2022-04-14,97,181,1,
8Iqr75OWX3o,"Github cli cli/cli : 2.7.0 new feature : ""gh status""",https://youtu.be/8Iqr75OWX3o,2022-04-11,75,32,,
3c7vj5cuYoY,gh cli upgrade,https://youtu.be/3c7vj5cuYoY,2022-04-09,37,89,,
1UepHh-P4Vg,DEVOPS LABS   2022 2   SpringNative,https://youtu.be/1UepHh-P4Vg,2022-04-07,1120,55,1,
LPrxUb82wCY,Grype demo sb bytecode vs native,https://youtu.be/LPrxUb82wCY,2022-04-07,48,23,,
NHJSdEYDqRw,Maintenance des dépendances en continu sur Github avec Dependabot,https://youtu.be/NHJSdEYDqRw,2022-04-07,148,91,,
MyNPzH7oheA,Build Spring Boot Native API on  Mac M1,https://youtu.be/MyNPzH7oheA,2022-04-05,135,419,2,
GRipRGxR4QY,Running Tanzu Unmanaged cluster on katacoda,https://youtu.be/GRipRGxR4QY,2022-03-27,1204,65,1,
17X96NSxSGQ,Follow opt-nc on Github,https://youtu.be/17X96NSxSGQ,2022-03-23,20,16,,
_FiVaMFITkI,yamlfixer Introduction,https://youtu.be/_FiVaMFITkI,2022-03-21,952,59,5,
pj-gzsbZJ58,DEVOPS LABS 2022.02 Knative appliqué au java,https://youtu.be/pj-gzsbZJ58,2022-03-11,563,52,2,
GuloRWeTavY,Yaml fixer Github Action,https://youtu.be/GuloRWeTavY,2022-03-10,416,109,,
Er-W5J5ky7Q,Releaser mieux avec les commits conventionels,https://youtu.be/Er-W5J5ky7Q,2022-02-09,899,141,,
oP8zJR1epBk,DEVOPSLABS   SDKMAN,https://youtu.be/oP8zJR1epBk,2021-08-31,1195,76,,
mf82Ya-LqTE,COVID 19 Github Nouveau cas,https://youtu.be/mf82Ya-LqTE,2021-08-22,376,24,1,
nvtzDNTCfY0,DEVOPS LABS 2021 1   PostgreSQL bloat et partitionnement,https://youtu.be/nvtzDNTCfY0,2021-04-23,1487,37,1,
eGHIF-fUgCY,DevOPS LABS Trailer,https://youtu.be/eGHIF-fUgCY,2021-04-07,418,173,,
